fabric,vrf,displayName,networkId,networkTemplate,networkExtensionTemplate,networkName,secondaryGW3,suppressArp,secondaryGW2,secondaryGW1,loopbackId,enableL3OnBorder,enableIR,rtBothAuto,isLayer2Only,vrfDhcp3,vrfDhcp2,dhcpServerAddr3,gatewayIpV6Address,dhcpServerAddr2,dhcpServerAddr1,tag,nveId,vrfDhcp,secondaryGW4,vlanId,gatewayIpAddress,vlanName,mtu,intfDescription,mcastGroup,trmEnabled
SoAZ-PHX,NA,dt-pwrvpn-FW-CONN,30026,Default_Network_Universal,Default_Network_Extension_Universal,dt-pwrvpn-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,1647,,,,,239.1.1.1,false
SoAZ-PHX,NA,DMZ-WEB2,30118,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-WEB2,,false,,,,false,false,false,true,,,,,,,12345,1,,,505,,,,,239.1.1.2,false
SoAZ-PHX,NA,ADE-Prod-Pool-VLAN44,30744,Default_Network_Universal,Default_Network_Extension_Universal,ADE-Prod-Pool-VLAN44,,false,,,,false,false,true,true,,,,,,,12345,1,,,744,,ADE-Prod-Pool-VLAN44,,,239.1.1.0,false
SoAZ-PHX,NA,HRIS-PRD-AUTH,30033,Default_Network_Universal,Default_Network_Extension_Universal,HRIS-PRD-AUTH,,false,,,,false,false,false,true,,,,,,,12345,1,,,302,,,,,239.1.1.0,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1518,30070,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1518,,false,,,,false,false,false,true,,,,,,,12345,1,,,1518,,,,,239.1.1.5,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1517,30069,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1517,,false,,,,false,false,false,true,,,,,,,12345,1,,,1517,,,,,239.1.1.6,false
SoAZ-PHX,NA,ROC-az-data,30144,Default_Network_Universal,Default_Network_Extension_Universal,ROC-az-data,,false,,,,false,false,false,true,,,,,,,12345,1,,,900,,,,,239.1.1.7,false
SoAZ-PHX,NA,DOT-dt-data,30142,Default_Network_Universal,Default_Network_Extension_Universal,DOT-dt-data,,false,,,,false,false,false,true,,,,,,,12345,1,,,2011,,,,,239.1.1.8,false
SoAZ-PHX,NA,HRIS-DEV-AUTH,30036,Default_Network_Universal,Default_Network_Extension_Universal,HRIS-DEV-AUTH,,false,,,,false,false,false,true,,,,,,,12345,1,,,305,,,,,239.1.1.0,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1519,30071,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1519,,false,,,,false,false,false,true,,,,,,,12345,1,,,1519,,,,,239.1.1.10,false
SoAZ-PHX,NA,ADOT-SDX-Network-Primary,30010,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-SDX-Network-Primary,,false,,,,false,false,false,true,,,,,,,12345,1,,,298,,,,,239.1.1.0,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1512,30064,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1512,,false,,,,false,false,false,true,,,,,,,12345,1,,,1512,,,,,239.1.1.12,false
SoAZ-PHX,NA,500,30113,Default_Network_Universal,Default_Network_Extension_Universal,500,,false,,,,false,false,false,true,,,,,,,12345,1,,,500,,,,,239.1.1.13,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1511,30063,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1511,,false,,,,false,false,false,true,,,,,,,12345,1,,,1511,,,,,239.1.1.14,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1514,30066,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1514,,false,,,,false,false,false,true,,,,,,,12345,1,,,1514,,,,,239.1.1.15,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1513,30065,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1513,,false,,,,false,false,false,true,,,,,,,12345,1,,,1513,,,,,239.1.1.16,false
SoAZ-PHX,NA,ADOT-dt-aws-FW-CONN-Old-169,30022,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-dt-aws-FW-CONN-Old-169,,false,,,,false,false,false,true,,,,,,,12345,1,,,1643,,,,,239.1.1.0,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1516,30068,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1516,,false,,,,false,false,false,true,,,,,,,12345,1,,,1516,,,,,239.1.1.18,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1515,30067,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1515,,false,,,,false,false,false,true,,,,,,,12345,1,,,1515,,,,,239.1.1.19,false
SoAZ-PHX,NA,DMZ-AZ3D-WEB,30125,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-AZ3D-WEB,,false,,,,false,false,false,true,,,,,,,12345,1,,,515,,,,,239.1.1.20,false
SoAZ-PHX,dc-ftgdmz,tr-data-w-FW-CONN,30149,Default_Network_Universal,Default_Network_Extension_Universal,tr-data-w-FW-CON,,false,,,,false,false,false,false,,,,,,,12345,1,,,2119,,,,,239.1.1.21,false
SoAZ-PHX,NA,BACK-END-Zadara-MGMT-1520,30072,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-Zadara-MGMT-1520,,false,,,,false,false,false,true,,,,,,,12345,1,,,1520,,,,,239.1.1.22,false
SoAZ-PHX,NA,ADOT-Dev-Net-Services,30015,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-Dev-Net-Services,,false,,,,false,false,false,true,,,,,,,12345,1,,,403,,,,,239.1.1.0,false
SoAZ-PHX,NA,ADOT-dt-badge-FW-CONN,30092,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-dt-badge-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,152,,,,,239.1.1.24,false
SoAZ-PHX,NA,Land-ld-data-FW-CONN,30109,Default_Network_Universal,Default_Network_Extension_Universal,Land-ld-data-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,2084,,,,,239.1.1.25,false
SoAZ-PHX,NA,DMZ-CHARTER-SCHOOLS,30128,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-CHARTER-SCHOOLS,,false,,,,false,false,false,true,,,,,,,12345,1,,,518,,,,,239.1.1.26,false
SoAZ-PHX,NA,ic-vmotion-1688,30050,Default_Network_Universal,Default_Network_Extension_Universal,ic-vmotion-1688,,false,,,,false,false,false,true,,,,,,,12345,1,,,1688,,,,,239.1.1.0,false
SoAZ-PHX,NA,GM-1614-Svr-Mgmt,30073,Default_Network_Universal,Default_Network_Extension_Universal,GM-1614-Svr-Mgmt,,false,,,,false,false,false,true,,,,,,,12345,1,,,1614,,,,,239.1.1.28,false
